,RestroName,FullAddress,Street,Locality,Region,Zipcode,Phone,Categories
54,Domino's Pizza,"3103 N Clark StChicago, IL 60657",3103 N Clark St,"Chicago, ",IL,60657,(773)-528-3030,"PizzaRestaurantsTake Out Restaurants
"
55,Bella Vita,"133 N California AveChicago, IL 60612",133 N California Ave,"Chicago, ",IL,60612,(773)-638-2332,"PizzaCaterersRestaurants
"
56,Pronto Za,"1234 N Halsted StChicago, IL 60642",1234 N Halsted St,"Chicago, ",IL,60642,(312)-302-9988,"PizzaTake Out RestaurantsCaterers
"
57,Papa Ray's Pizza & Wings,"4757 N Sheridan RdChicago, IL 60640",4757 N Sheridan Rd,"Chicago, ",IL,60640,(773)-754-0394,"PizzaCaterersRestaurants
"
58,J B Alberto's Pizza,"1326 W Morse AveChicago, IL 60626",1326 W Morse Ave,"Chicago, ",IL,60626,(773)-973-1700,"PizzaCaterersTake Out Restaurants
"
59,Tatas Chicago Pizzeria,"3019 W 111th StChicago, IL 60655",3019 W 111th St,"Chicago, ",IL,60655,(773)-881-1313,"PizzaRestaurants
"
60,Godfather's Pizza,"1265 W Wilson AveChicago, IL 60640",1265 W Wilson Ave,"Chicago, ",IL,60640,(773)-878-8600,"PizzaTake Out RestaurantsRestaurants
"
61,Pizano's Pizza & Pasta,"61 E Madison StChicago, IL 60603",61 E Madison St,"Chicago, ",IL,60603,(312)-236-1777,"PizzaItalian Restaurants
"
62,Pizza Hut,"5905 S Archer AveChicago, IL 60638",5905 S Archer Ave,"Chicago, ",IL,60638,(773)-284-2221,"PizzaFast Food RestaurantsRestaurants
"
63,Pizza Nova,"1842 W 18th StChicago, IL 60608",1842 W 18th St,"Chicago, ",IL,60608,(312)-666-3500,"PizzaItalian RestaurantsCaterers
"
64,Onesti Pizza,"2755 W 71st StChicago, IL 60629",2755 W 71st St,"Chicago, ",IL,60629,(773)-471-0220,"PizzaRestaurants
"
65,CW Napkin,"1011 W Irving Park RdChicago, IL 60613",1011 W Irving Park Rd,"Chicago, ",IL,60613,(773)-244-2600,"PizzaRestaurants
"
66,Bellonas Pizza,"3447 W Montrose AveChicago, IL 60618",3447 W Montrose Ave,"Chicago, ",IL,60618,(773)-588-8500,"PizzaItalian RestaurantsRestaurants
"
67,Trio's Pizza,"7009 W Higgins AveChicago, IL 60656",7009 W Higgins Ave,"Chicago, ",IL,60656,(773)-775-3974,"PizzaRestaurants
"
68,Sarpino's Pizzeria,"1435 W Montrose AveChicago, IL 60613",1435 W Montrose Ave,"Chicago, ",IL,60613,(773)-281-1800,"Pizza
"
69,Gino's North Pizzeria,"1111 W Granville AveChicago, IL 60660",1111 W Granville Ave,"Chicago, ",IL,60660,(773)-465-1616,"PizzaBarsAmerican Restaurants
"
70,Route 66 Pizza,"10180 S Indianapolis AveChicago, IL 60617",10180 S Indianapolis Ave,"Chicago, ",IL,60617,(773)-734-2032,"PizzaCaterersRestaurants
"
71,Pizzeria Calzone,"5858 N Lincoln AveChicago, IL 60659",5858 N Lincoln Ave,"Chicago, ",IL,60659,(773)-907-0917,"PizzaItalian RestaurantsRestaurants
"
72,Marie's Liquor and Pizza,"4127 W Lawrence AveChicago, IL 60630",4127 W Lawrence Ave,"Chicago, ",IL,60630,(773)-725-1812,"PizzaCaterersBar & GrillsBars
"
73,Avy's Pizza,"9917 S Ewing AveChicago, IL 60617",9917 S Ewing Ave,"Chicago, ",IL,60617,(773)-933-6007,"PizzaRestaurants
"
74,Waldo Cooney's Pizza,"3651 E 106th StChicago, IL 60617",3651 E 106th St,"Chicago, ",IL,60617,(773)-374-4400,"PizzaCaterersRestaurants
"
75,Bella's Pizza,"1801 W 95th StChicago, IL 60643",1801 W 95th St,"Chicago, ",IL,60643,(773)-238-8300,"PizzaItalian RestaurantsCaterers
"
76,Naty's Pizza,"3849 W 26th StChicago, IL 60623",3849 W 26th St,"Chicago, ",IL,60623,(773)-277-8644,"PizzaRestaurants
"
77,Route 66 Pizza,"10180 S Indianapolis AveChicago, IL 60617",10180 S Indianapolis Ave,"Chicago, ",IL,60617,(773)-734-2032,"PizzaCaterersRestaurants
"
78,Pizzeria Calzone,"5858 N Lincoln AveChicago, IL 60659",5858 N Lincoln Ave,"Chicago, ",IL,60659,(773)-907-0917,"PizzaItalian RestaurantsRestaurants
"
79,Marie's Liquor and Pizza,"4127 W Lawrence AveChicago, IL 60630",4127 W Lawrence Ave,"Chicago, ",IL,60630,(773)-725-1812,"PizzaCaterersBar & GrillsBars
"
80,Avy's Pizza,"9917 S Ewing AveChicago, IL 60617",9917 S Ewing Ave,"Chicago, ",IL,60617,(773)-933-6007,"PizzaRestaurants
"
81,Waldo Cooney's Pizza,"3651 E 106th StChicago, IL 60617",3651 E 106th St,"Chicago, ",IL,60617,(773)-374-4400,"PizzaCaterersRestaurants
"
82,Bella's Pizza,"1801 W 95th StChicago, IL 60643",1801 W 95th St,"Chicago, ",IL,60643,(773)-238-8300,"PizzaItalian RestaurantsCaterers
"
83,Naty's Pizza,"3849 W 26th StChicago, IL 60623",3849 W 26th St,"Chicago, ",IL,60623,(773)-277-8644,"PizzaRestaurants
"
84,Big G's Pizza,"3716 N Clark StChicago, IL 60613",3716 N Clark St,"Chicago, ",IL,60613,(773)-281-2444,"PizzaCaterersRestaurants
"
85,Old Chicago Pasta & Pizza,"742 E 79th StChicago, IL 60619",742 E 79th St,"Chicago, ",IL,60619,(773)-873-7428,"PizzaRestaurantsBeer & Ale
"
86,Gusi's Pizza,"10606 S Torrence AveChicago, IL 60617",10606 S Torrence Ave,"Chicago, ",IL,60617,(773)-933-0820,"PizzaRestaurants
"
87,Pauly's Pizzaria Wrigleyville,"3515 N Clark StChicago, IL 60657",3515 N Clark St,"Chicago, ",IL,60657,(773)-248-3111,"PizzaRestaurants
"
88,Pizzeria Serio,"1708 W Belmont AveChicago, IL 60657",1708 W Belmont Ave,"Chicago, ",IL,60657,(773)-525-0600,"PizzaItalian RestaurantsCaterers
"
89,Bojono's Pizza,"4185 N Clarendon AveChicago, IL 60613",4185 N Clarendon Ave,"Chicago, ",IL,60613,(773)-404-9700,"PizzaTake Out Restaurants
"
90,Frasca Pizzeria & Wine Bar,"3358 N Paulina StChicago, IL 60657",3358 N Paulina St,"Chicago, ",IL,60657,(773)-248-5222,"PizzaBar & GrillsSandwich Shops
"
91,Mama Mia Chicago Grill,"3131 N Central AveChicago, IL 60634",3131 N Central Ave,"Chicago, ",IL,60634,(773)-777-3663,"PizzaCaterersItalian Restaurants
"
92,Sono Wood Fired,"1582 N Clybourn AveChicago, IL 60642",1582 N Clybourn Ave,"Chicago, ",IL,60642,(312)-255-1122,"PizzaBarsItalian RestaurantsCaterers
"
93,Giordano's,"2010 W Montrose AveChicago, IL 60618",2010 W Montrose Ave,"Chicago, ",IL,60618,(773)-275-4600,"PizzaRestaurants
"
94,Papa Giorgio's Pizzaria,"2604 W Lawrence AveChicago, IL 60625",2604 W Lawrence Ave,"Chicago, ",IL,60625,(773)-769-2005,"PizzaItalian RestaurantsRestaurants
"
95,T's Piasan's Pizza & Grill,"1100 W Thorndale AveChicago, IL 60660",1100 W Thorndale Ave,"Chicago, ",IL,60660,(773)-271-4171,"PizzaRestaurants
"
96,Robey Pizza Company,"1954 W Roscoe StChicago, IL 60657",1954 W Roscoe St,"Chicago, ",IL,60657,(773)-248-7800,"PizzaTake Out Restaurants
"
97,Domino's Pizza,"321 E 35th StChicago, IL 60616",321 E 35th St,"Chicago, ",IL,60616,(312)-929-3325,"PizzaRestaurantsTake Out Restaurants
"
98,Devon Pizza,"2916 1/2 W Devon AveChicago, IL 60659",2916 1/2 W Devon Ave,"Chicago, ",IL,60659,(773)-338-4940,"PizzaRestaurants
"
99,Sizziers Pizza & Grill,"1632 W Howard StChicago, IL 60626",1632 W Howard St,"Chicago, ",IL,60626,(773)-465-8600,"PizzaBar & GrillsRestaurants
"
100,Sarpino's Pizzeria,"6526 W North AveChicago, IL 60707",6526 W North Ave,"Chicago, ",IL,60707,(773)-622-2262,"Pizza
"
101,Bije's Grill & Bar,"7455 W Irving Park RdChicago, IL 60634",7455 W Irving Park Rd,"Chicago, ",IL,60634,(773)-625-9700,"PizzaBar & GrillsBarsCaterers
"
102,Nary's Grill & Pizza,"4230 S Archer AveChicago, IL 60632",4230 S Archer Ave,"Chicago, ",IL,60632,(773)-523-6400,"PizzaBar & GrillsRestaurants
"
103,Frank's Pizzeria & Restaurant,"6506 W Belmont AveChicago, IL 60634",6506 W Belmont Ave,"Chicago, ",IL,60634,(773)-283-2564,"PizzaCaterersRestaurants
"
104,Paula and Monicas Pizzeria,"1518 W. Chicago Avenuechicago, IL 60642",1518 W. Chicago Avenue,"chicago, ",IL,60642,(312)-929-3615,"PizzaDelicatessensCaterersRestaurants
"
105,Gioroginos Pizza,"5723 W 63rd StChicago, IL 60638",5723 W 63rd St,"Chicago, ",IL,60638,(773)-838-3633,"PizzaRestaurants
"
106,Uptown Pizza & Barbecue Restaurant,"1031 W Wilson AveChicago, IL 60640",1031 W Wilson Ave,"Chicago, ",IL,60640,(773)-275-5390,"PizzaItalian Restaurants
"
107,Chicago's Pizza,"4520 W Irving Park RdChicago, IL 60641",4520 W Irving Park Rd,"Chicago, ",IL,60641,(773)-427-0100,"PizzaItalian RestaurantsRestaurants
"
108,Carreno's Pizza,"5739 W Irving Park RdChicago, IL 60634",5739 W Irving Park Rd,"Chicago, ",IL,60634,(773)-283-1670,"PizzaRestaurants
"
109,Pappa Romeo's Pizza,"6730 N Clark StChicago, IL 60626",6730 N Clark St,"Chicago, ",IL,60626,(773)-274-9898,"PizzaSandwich ShopsRestaurants
"
110,Punky's Pizza & Pasta,"2600 S Wallace StChicago, IL 60616",2600 S Wallace St,"Chicago, ",IL,60616,(312)-842-2100,"PizzaItalian RestaurantsCaterers
"
111,Margarita's Pizzeria II,"346 E 75th StChicago, IL 60619",346 E 75th St,"Chicago, ",IL,60619,(773)-783-1610,"PizzaRestaurants
"
112,Pizza Hut,"2042 W 47th StChicago, IL 60609",2042 W 47th St,"Chicago, ",IL,60609,(773)-376-4700,"PizzaTake Out Restaurants
"
113,Coalfire,"1321 W Grand AveChicago, IL 60642",1321 W Grand Ave,"Chicago, ",IL,60642,(312)-226-2625,"PizzaRestaurants
"
114,Pizza Metro Ii,"925 N Ashland AveChicago, IL 60622",925 N Ashland Ave,"Chicago, ",IL,60622,(773)-772-3267,"PizzaItalian RestaurantsCaterers
"
115,Reggio's Pizza,"120 W 87th St # C3Chicago, IL 60620",120 W 87th St # C3,"Chicago, ",IL,60620,(773)-651-7777,"PizzaRestaurants
"
116,Geos Pizza,"2849 N Harlem AveChicago, IL 60707",2849 N Harlem Ave,"Chicago, ",IL,60707,(773)-237-4450,"PizzaTake Out RestaurantsCaterers
"
117,Giordano's,"730 N Rush StChicago, IL 60611",730 N Rush St,"Chicago, ",IL,60611,(312)-951-0747,"PizzaRestaurantsItalian Restaurants
"
118,Piece,"1927 W North AveChicago, IL 60622",1927 W North Ave,"Chicago, ",IL,60622,(773)-772-4422,"PizzaBarsBar & Grills
"
119,Pompei Bakery,"2955 N Sheffield AveChicago, IL 60657",2955 N Sheffield Ave,"Chicago, ",IL,60657,(773)-325-1900,"PizzaCaterersBakeries
"
120,Chicago's Pizza,"3114 N Lincoln AveChicago, IL 60657",3114 N Lincoln Ave,"Chicago, ",IL,60657,(773)-477-2777,"Italian RestaurantsRestaurantsPizza
"
121,Apart Pizza Company,"2205 W Montrose AveChicago, IL 60618",2205 W Montrose Ave,"Chicago, ",IL,60618,(773)-588-1550,"PizzaItalian RestaurantsCaterers
"
122,Big Cheese Pizza,"2554 W Diversey AveChicago, IL 60647",2554 W Diversey Ave,"Chicago, ",IL,60647,(773)-227-1122,"PizzaRestaurants
"
123,Mugs Pizza and Ribs,"7228 N Harlem AveChicago, IL 60631",7228 N Harlem Ave,"Chicago, ",IL,60631,(773)-594-1202,"PizzaCaterersRestaurants
"
124,Capri Pizza,"8820 S Commercial AveChicago, IL 60617",8820 S Commercial Ave,"Chicago, ",IL,60617,(773)-768-7242,"PizzaCaterersItalian Restaurants
"
125,Connie's Pizza,"1120 N State StChicago, IL 60610",1120 N State St,"Chicago, ",IL,60610,(312)-725-7777,"PizzaTake Out Restaurants
"
126,State Street Pizza Company,"400 N State St # 1AChicago, IL 60654",400 N State St # 1A,"Chicago, ",IL,60654,(312)-624-8270,"PizzaItalian RestaurantsRestaurants
"
127,Piezano's Pizza & Grinder Co,"3059 S Pulaski RdChicago, IL 60623",3059 S Pulaski Rd,"Chicago, ",IL,60623,(773)-521-0808,"PizzaRestaurants
"
128,Waldo Cooney's Pizza,"8541 S Pulaski RdChicago, IL 60652",8541 S Pulaski Rd,"Chicago, ",IL,60652,(773)-585-0965,"PizzaRestaurants
"
129,Giordano's,"9613 S Western AveChicago, IL 60643",9613 S Western Ave,"Chicago, ",IL,60643,(773)-239-5000,"PizzaRestaurantsItalian Restaurants
"
130,Gianna's Pizza,"1519 E 87th StChicago, IL 60619",1519 E 87th St,"Chicago, ",IL,60619,(773)-734-9400,"PizzaRestaurants
"
131,Conte's Pizza,"8512 S Pulaski RdChicago, IL 60652",8512 S Pulaski Rd,"Chicago, ",IL,60652,(773)-582-4111,"PizzaCaterersRestaurants
"
132,Gino's Pizza,"2945 W 59th StChicago, IL 60629",2945 W 59th St,"Chicago, ",IL,60629,(773)-767-5545,"PizzaRestaurantsItalian Restaurants
"
133,Margarita's Pizza,"2705 E 79th StChicago, IL 60649",2705 E 79th St,"Chicago, ",IL,60649,(773)-374-7969,"PizzaRestaurants
"
134,Lukes On Harlem,"3130 N Harlem AveChicago, IL 60634",3130 N Harlem Ave,"Chicago, ",IL,60634,(773)-889-4000,"PizzaRestaurants
"
135,Homemade Pizza Co.,"1127 N State StChicago, IL 60610",1127 N State St,"Chicago, ",IL,60610,(312)-266-3000,"PizzaRestaurants
"
136,Topper Pizza,"4036 Narragansett Ave Chicago, IL 60634",4036 Narragansett Ave ,"Chicago, ",IL,60634,(773)-685-4114,"Pizza
"
137,Freddie's,"701 W 31st StChicago, IL 60616",701 W 31st St,"Chicago, ",IL,60616,(312)-808-0147,"PizzaTake Out Restaurants
"
138,Papa Ray's Pizza & Wings,"2551 W Fullerton AveChicago, IL 60647",2551 W Fullerton Ave,"Chicago, ",IL,60647,(773)-661-2113,"PizzaCaterersRestaurants
"
139,The Millwood,"1360 N Milwaukee AveChicago, IL 60622",1360 N Milwaukee Ave,"Chicago, ",IL,60622,(773)-772-6000,"PizzaTake Out Restaurants
"
140,Giovanni's Pizza,"7004 W Diversey AveChicago, IL 60707",7004 W Diversey Ave,"Chicago, ",IL,60707,(773)-237-6669,"PizzaItalian RestaurantsRestaurants
"
141,Pizzeria Ora,"545 N La Salle DrChicago, IL 60654",545 N La Salle Dr,"Chicago, ",IL,60654,(312)-464-1872,"PizzaCaterersItalian Restaurants
"
142,Root's Handmade Pizza/West,"1916 W Chicago AveChicago, IL 60622",1916 W Chicago Ave,"Chicago, ",IL,60622,(773)-645-4949,"PizzaBakeriesRestaurants
"
143,Jo Zo's Pizza & Grinders,"5006 S Archer AveChicago, IL 60632",5006 S Archer Ave,"Chicago, ",IL,60632,(773)-884-2100,"PizzaRestaurants
"
144,Papa John's Pizza,"4507 W Lawrence AveChicago, IL 60630",4507 W Lawrence Ave,"Chicago, ",IL,60630,(773)-283-7272,"PizzaRestaurantsTake Out Restaurants
"
145,Renaldis Afterdark Bar,"2827 N Broadway StChicago, IL 60657",2827 N Broadway St,"Chicago, ",IL,60657,(773)-248-2445,"PizzaBarsCaterersTake Out Restaurants
"
146,Naty's Pizza,"1757 W Chicago AveChicago, IL 60622",1757 W Chicago Ave,"Chicago, ",IL,60622,(312)-666-7229,"PizzaCaterersRestaurants
"
147,Great Lake,"1477 W Balmoral AveChicago, IL 60640",1477 W Balmoral Ave,"Chicago, ",IL,60640,(773)-334-9270,"PizzaRestaurants
"
148,Pizza Hut,"47 W 79th StChicago, IL 60620",47 W 79th St,"Chicago, ",IL,60620,(773)-224-4440,"PizzaTake Out RestaurantsRestaurants
"
149,Seventh,"400 E Randolph St Ste 735Chicago, IL 60601",400 E Randolph St Ste 735,"Chicago, ",IL,60601,(312)-856-9526,"PizzaRestaurants
"
150,Papa T's Pizza and Ribs,"2843 W 63rd StChicago, IL 60629",2843 W 63rd St,"Chicago, ",IL,60629,(773)-436-2100,"PizzaItalian RestaurantsRestaurants
"
151,Primos Chicago Pizza,"816 W Van Buren StChicago, IL 60607",816 W Van Buren St,"Chicago, ",IL,60607,(312)-243-1052,"PizzaCaterersRestaurants
"
152,Pop-N-Pizza,"3701 W 59th StChicago, IL 60629",3701 W 59th St,"Chicago, ",IL,60629,(773)-284-8500,"PizzaCaterersRestaurants
"
153,Luigi's Pizza,"4212 W Madison StChicago, IL 60624",4212 W Madison St,"Chicago, ",IL,60624,(773)-722-0109,"PizzaItalian RestaurantsRestaurants
"
154,Rosati's Pizza,"1339 S Halsted StChicago, IL 60607",1339 S Halsted St,"Chicago, ",IL,60607,(312)-455-1211,"PizzaTake Out Restaurants
"
155,Pie Hole Pizza Joint,"3477 N Broadway StChicago, IL 60657",3477 N Broadway St,"Chicago, ",IL,60657,(773)-525-8888,"PizzaItalian RestaurantsRestaurants
"
156,Positano's Pizza,"4844 S Ashland AveChicago, IL 60609",4844 S Ashland Ave,"Chicago, ",IL,60609,(773)-247-4100,"PizzaRestaurants
"
157,Rosati's Pizza,"3150 W 111th StChicago, IL 60655",3150 W 111th St,"Chicago, ",IL,60655,(773)-239-4900,"PizzaItalian RestaurantsCaterers
"
158,Amato's Pizzeria,"953 W Willow St Ste 2Chicago, IL 60614",953 W Willow St Ste 2,"Chicago, ",IL,60614,(312)-640-1299,"PizzaPizza-Wholesale & Manufacturers
"
159,Phil's Pizza D'Oro,"5800 N Milwaukee AveChicago, IL 60646",5800 N Milwaukee Ave,"Chicago, ",IL,60646,(773)-763-2285,"PizzaItalian RestaurantsCaterers
"
160,Giordano's,"310 E Randolph StChicago, IL 60601",310 E Randolph St,"Chicago, ",IL,60601,(312)-201-1441,"PizzaItalian Restaurants
"
161,Phil's Pizza,"3551 S Halsted StChicago, IL 60609",3551 S Halsted St,"Chicago, ",IL,60609,(773)-523-0947,"PizzaRestaurants
"
162,Michael's Pizzeria & Grill,"4091 N Broadway StChicago, IL 60613",4091 N Broadway St,"Chicago, ",IL,60613,(773)-929-4149,"PizzaBarsTake Out Restaurants
"
163,Crust Eat Real,"2056 W Division StChicago, IL 60622",2056 W Division St,"Chicago, ",IL,60622,(773)-235-5511,"PizzaBarsFamily Style Restaurants
"
164,Paddy O'Splaines,"2434 W Montrose AveChicago, IL 60618",2434 W Montrose Ave,"Chicago, ",IL,60618,(773)-866-1825,"PizzaBarsCaterersRestaurants
"
165,Giordano's,"130 E Randolph StChicago, IL 60601",130 E Randolph St,"Chicago, ",IL,60601,(312)-616-1200,"PizzaItalian RestaurantsRestaurants
"
166,D'Agostino's River West,"752 N Ogden AveChicago, IL 60642",752 N Ogden Ave,"Chicago, ",IL,60642,(312)-850-3247,"PizzaBarsItalian Restaurants
"
